,Coordinates
545,"[49.313011, -123.077304]"
546,"[49.314475, -123.075821]"
547,"[49.316942, -123.073316]"
548,"[49.317657, -123.072585]"
549,"[49.320351, -123.072239]"
550,"[49.324592, -123.072122]"
551,"[49.326626, -123.072103]"
552,"[49.32862, -123.07203]"
553,"[49.330025, -123.071991]"
554,"[49.334503, -123.07187]"
555,"[49.335578, -123.068457]"
556,"[49.33557, -123.065637]"
557,"[49.335549, -123.061435]"
558,"[49.335533, -123.058454]"
559,"[49.335507, -123.0542]"
560,"[49.335457, -123.049839]"
561,"[49.335421, -123.045671]"
562,"[49.335409, -123.043402]"
563,"[49.335451, -123.040994]"
564,"[49.359304, -123.105744]"
565,"[49.364701, -123.10283]"
566,"[49.366284, -123.101733]"
567,"[49.368777, -123.099815]"
568,"[49.312, -123.081387]"
569,"[49.313269, -123.084338]"
570,"[49.315326, -123.085772]"
571,"[49.318364, -123.088085]"
572,"[49.320805, -123.093249]"
573,"[49.32151, -123.095263]"
574,"[49.322272, -123.097422]"
575,"[49.323076, -123.0996]"
576,"[49.323925, -123.101014]"
577,"[49.326757, -123.100519]"
578,"[49.328368, -123.101385]"
579,"[49.329874, -123.10276]"
580,"[49.329944, -123.105226]"
581,"[49.329962, -123.107885]"
582,"[49.330029, -123.113634]"
583,"[49.334984, -123.115725]"
584,"[49.336685, -123.115441]"
585,"[49.339994, -123.114327]"
586,"[49.344119, -123.11158]"
587,"[49.345601, -123.110999]"
588,"[49.347433, -123.1112]"
589,"[49.351104, -123.107652]"
590,"[49.352871, -123.107029]"
591,"[49.356466, -123.106088]"
592,"[49.310903, -123.082739]"
593,"[49.329911, -123.112617]"
594,"[49.342653, -123.113437]"
595,"[49.37215, -123.099142]"
596,"[49.23303, -122.88308]"
597,"[49.236124, -122.873271]"
598,"[49.235583, -122.867597]"
599,"[49.234856, -122.864252]"
600,"[49.23406, -122.860509]"
601,"[49.23225, -122.851624]"
602,"[49.335312, -123.072123]"
603,"[49.321699, -123.072482]"
604,"[49.333879, -123.037968]"
605,"[49.334201, -123.043346]"
606,"[49.335534, -123.044265]"
607,"[49.335555, -123.046388]"
608,"[49.335594, -123.051387]"
609,"[49.335634, -123.055215]"
